id_text,text_name,version,l_no,text
c.1.1.2,Enki and Ninmah,,1,ud re-a-ta ud an ki-bi-ta ba-an-dim₂-ma-ba
c.1.1.2,Enki and Ninmah,,2,ŋi₆ re-a-ta ŋi₆ an ki-bi-ta ba-an-dim₂-ma-ba
c.1.1.2,Enki and Ninmah,,3,mu re-a-ta mu nam ba-tar-ra-ba
c.1.1.2,Enki and Ninmah,,4,{d}a-nun-na-ke₄-ne ba-tu-ud-da-a-ba
c.1.1.2,Enki and Ninmah,,5,{d}ama-{d}inana nam-NIR.PA-še₃ ba-tuku-a-ba
c.1.1.2,Enki and Ninmah,,6,{d}ama-{d}inana an ki-a ba-hal-hal-la-a-ba
c.1.1.2,Enki and Ninmah,,7,{d}ama-{d}inana ba-a-peš u₃-tud-da-a-ba
c.1.1.2,Enki and Ninmah,,8,diŋir kurum₆-ma-bi unu₂-bi-še₃ ba-ab-keše₂-a-ba
c.1.1.2,Enki and Ninmah,,9,diŋir šar₂-šar₂ kiŋ₂-ŋa₂ al-sug₂-ge-eš diŋir tur-tur du₂-lum im-il₂-il₂-e-ne
c.1.1.2,Enki and Ninmah,,10,diŋir id₂ im dun-dun-u₃-ne sahar-bi ha-ra-li im-dub-dub-be₂-ne
c.1.1.2,Enki and Ninmah,,11,diŋir im ar₃-ar₃-re-ne zi-bi inim am₃-ma-ŋar-re-ne
c.1.1.2,Enki and Ninmah,,12,ud-ba ŋeštug₂ daŋal mud diŋir šar₂-šar₂ ŋal₂-ŋal₂
c.1.1.2,Enki and Ninmah,,13,{d}en-ki-ke₄ engur buru₃ a-sur-ra ki diŋir na-me šag₄-bi u₆ nu-um-me
c.1.1.2,Enki and Ninmah,,14,ki-nu₂-ni i₃-nu₂ u₃ ku nu-um-zi-zi
c.1.1.2,Enki and Ninmah,,15,diŋir er₂-ra im-pad-pad-ne a-nir ŋal₂ i₃-ak im-me-ne
c.1.1.2,Enki and Ninmah,,16,lu₂ ku-ra i₃-nu₂-a-ra ki-nu₂-bi nu-um-zi-zi-ra
c.1.1.2,Enki and Ninmah,,17,{d}namma-ke₄ ama palil u₃-tud diŋir šar₂-šar₂-ra-ke₄-ne
