id_text,text_name,version,l_no,text
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,1,šu-luh kug-ga tum₂-ma
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,2,{d}ri-im-{d}suen išib an-na sizkur sikil-la tum₂-ma
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,3,šag₄ kug-ta bi₂-pad₃-da-zu nam-en kalam-ma-še₃ i-ni-il₂-la
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,4,nam-sipad saŋ gig₂-ga i-ni-in-ŋar-ra
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,5,ešgiri₂ kalam ge-en-ge-en šu-ni bi₂-in-si-a
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,6,šibir uŋ₃ zi-ŋal₂ lah₅-lah₅-e zag-ga-na bi₂-in-la₂
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,7,ša-ra-da-gub šu sikil-la ak-a-ni niŋ₂-nam mi-ni-in-dug₃-dug₃
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,8,ga {d}ezina₂-ma ir dug₃-ga ma-dam kalam-ma-ka
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,9,he-nun šag₄-tum₂-ma he₂-ŋal₂ nu-silig-ge
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,10,kurun ŋeštin pa e₃-a
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,11,{kaš}ulušin₃ ku₇-ku₇-da a₂ sikil-da šar₂-ra
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,12,kaš er₉ ki sikil ŋeštin tab-ba a naŋ nam-en-na-zu
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,13,kaš tab-ba kaš mah šu kug-zu tum₂-ma
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,14,lal₃ babbar mu pad₃-da-zu hur-saŋ-ta e₃-a
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,15,i₃ ab₂ kug-ga i₃-nun me-te nam-nun-na-zu
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,16,i₃-ŋiš barag-ga i₃ li saŋ sig₉-ga
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,17,gara₂ sig₇-a me-te {e₂}tur₃-re unu₇ kug nam-diŋir-zu
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,18,šul ŋiš tuku-zu lugal ki aŋ₂-zu
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,19,sipad zid {d}ri-im-{d}suen nam-til₃-la-ni-še₃ tum₂-ma-da gen₆-ne₂-de₃
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,20,KI.LUGAL.GUB kug šita-še₃ ba-ab-du₇-a sizkur šag₄ hul₂-la ša-ra-de₂-de₂-e
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,21,u₂ sikil-la u₂-bi gu₇ a sikil-la a-bi naŋ-a
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,22,ne-saŋ dug₄-ga-zu šag₄ hul₂-la-zu-ta šu te-en-ši-ib
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,23,a-ra-zu-ni še-ga-an za-e nir he₂-ŋal₂
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,24,sun₅-na-bi inim mu-ra-ab-sag₉-ge nam-til₃-bi dug₄-ga-ab
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,25,KI.EN.GUB kug KI.EN.GUB mah-e zid-de₃-eš lah₅-ab
c.2.6.9.5,A prayer to Nanna for Rīm-Sîn (Rīm-Sîn E),,26,ki-gub-ba-ni-ta silim-ma ŋar-mu-na-ab
