id_text,text_name,version,l_no,text
c.4.07.3,A hymn to Inana (Inana C),,1,in-nin šag₄ gur₄-ra ereš u₃-na giri₁₇-zal {d}a-nun-na-ke₄-ne
c.4.07.3,A hymn to Inana (Inana C),,2,zag dib kur-kur-ra dumu gal {d}suen-na mah-di nun-gal-e-ne
c.4.07.3,A hymn to Inana (Inana C),,3,ereš nam-mah me an ki ur₄-ur₄ an gal-da zag ša₄
c.4.07.3,A hymn to Inana (Inana C),,4,diŋir gal-gal-e-ne a₂-ŋal₂-bi-im e-ne gi til-le-be₂-ne
c.4.07.3,A hymn to Inana (Inana C),,5,inim mah-a-ni-še₃ {d}a-nun-na-ke₄-ne kušum₄ ki mu-un-tag-ge-ne
c.4.07.3,A hymn to Inana (Inana C),,6,in-di₃-bi an nu-zu-zu a₂ aŋ₂-ŋa₂-ni-še₃ nu-la₂
c.4.07.3,A hymn to Inana (Inana C),,7,niŋ₂ ak-ak-da-ni ab-ši-kur₂-ru ŋar-bi niŋ₂ nu-zu
c.4.07.3,A hymn to Inana (Inana C),,8,me gal-gal šu du₇ šibir ba-e-dab₅-be₂ saŋ-kal mah-be₂-ne
c.4.07.3,A hymn to Inana (Inana C),,9,diŋir kalam-ma-ke₄ {ŋeš}rab₃ gal-bi šu im-ri-X
c.4.07.3,A hymn to Inana (Inana C),,10,ni₂ gal-a-ni hur-saŋ gal dul-lu kaskal mu-un-sig₉-sig₉-ge
c.4.07.3,A hymn to Inana (Inana C),,11,za-pa-aŋ₂ dugud-da-ni-še₃ diŋir kalam-ma-ke₄ ni₂ am₃-ma-ur₄-ru-ne
c.4.07.3,A hymn to Inana (Inana C),,12,mur ša₄-a-ni {d}a-nun-na gi dili-gin₇ saŋ mu-da-ab-sag₃-sag₃-ge-ne
c.4.07.3,A hymn to Inana (Inana C),,13,dum-dam za-ni-še₃ kilib₃-ba-bi a₂-ur₂ mu-un-dab₅-be₂-e-ne
c.4.07.3,A hymn to Inana (Inana C),,14,{d}inana e-ne-da nu-me-a an gal ka-aš nu-um-bar {d}en-lil₂ nam nu-un-tar
c.4.07.3,A hymn to Inana (Inana C),,15,in-nin saŋ il₂ kur-ra ab-dirig a-ba saŋ mu-un-ŋa₂-ŋa₂
c.4.07.3,A hymn to Inana (Inana C),,16,ki iri{ki} du₆-du₆-da e₂ lil₂-la₂-še₃ uzug e₂-ri-a-še₃ i₃-ŋal₂
c.4.07.3,A hymn to Inana (Inana C),,17,urgu₂-ni u₃-dub₂ su tab₂-e su-mu-ug-ga-ni u₁₈-lu lu₂-ra eš₂ la₂
c.4.07.3,A hymn to Inana (Inana C),,18,suh₃ igi suh₃-suh₃-suh₃ mu-un-sar-re uŋ₃ lu₂ nu-še-ga-ni-ir
c.4.07.3,A hymn to Inana (Inana C),,19,ŋiš-ŋiš-la₂ sul-sul mar-uru₅ hub₂ sar-sar-re su-lim huš gu₂ e₃
c.4.07.3,A hymn to Inana (Inana C),,20,e-ne di-bi šen-šen me₃ hub₂ sar ak-de₃ nu-kuš₂-u₃ ŋiri₃-ni {kuš}e-sir₂ si-ni
c.4.07.3,A hymn to Inana (Inana C),,21,ud huš da-da-eš {tum₉}dalhamun₅ {tug₂}pala₃ i₃-dar-dar-re
c.4.07.3,A hymn to Inana (Inana C),,22,niŋ₂ tag-ga-ni ga-ba-ra-hum {tum₉}u₁₈-lu saŋ keše₂ sud-sud
c.4.07.3,A hymn to Inana (Inana C),,23,{d}inana piriŋ gi-il-gi-il-la dur₂-ru ni₂ nu-zu
c.4.07.3,A hymn to Inana (Inana C),,24,nemurₓ hur-saŋ-ŋa₂ har-ra-an ku₄-ku₄ guruš₃ bur₂
c.4.07.3,A hymn to Inana (Inana C),,25,in-nin am gal ne₃ nir-ŋal₂-ni na-me gaba nu-X-tu-lu
c.4.07.3,A hymn to Inana (Inana C),,26,saŋ-kal nun-gal-e-ne pu₂ niŋ₂-huš nu-še-ga
c.4.07.3,A hymn to Inana (Inana C),,27,{ŋeš}es₂-ad lu₂ erim₂-ŋal₂ lu₂-kur₂-ra
c.4.07.3,A hymn to Inana (Inana C),,28,ki uš₁₁ šub-ba-ni ud-da-am₃ u₃ ba-ra-ah ki-in-du bi₂-in-UD
c.4.07.3,A hymn to Inana (Inana C),,29,lipiš bal-a-ni niŋ₂ mar-uru₅ šu nu-ru-gu₂
c.4.07.3,A hymn to Inana (Inana C),,30,šita₃ mah niŋ₂ kur₂ lu₂ lu₂ gu₂ du₃-a gam-gam
c.4.07.3,A hymn to Inana (Inana C),,31,in-nin hu-ri₂-in{mušen} lu₂ šu nu-bar-re kur
c.4.07.3,A hymn to Inana (Inana C),,32,{d}inana sur₂-du₃{mušen} diŋir-re-e-ne tur₃ daŋal {d}inana
c.4.07.3,A hymn to Inana (Inana C),,33,iri {d}inana saŋ-ki ba-gid₂-i a-šag₄-bi
c.4.07.3,A hymn to Inana (Inana C),,34,a-šag₄ in-nin-e ab-sin₂-bi u₂
c.4.07.3,A hymn to Inana (Inana C),,35,an e-ne-ra saŋ mu-un-ŋa₂-ŋa₂ niŋ₂-na
c.4.07.3,A hymn to Inana (Inana C),,36,izi ra an-edin-na in-nin
